141,39,275,39,275,105,141,105
290,39,384,39,384,105,290,105
1630,54,1692,54,1692,98,1630,98
457,61,660,61,660,101,457,101
679,61,817,61,817,101,679,101
1140,61,1241,61,1241,105,1140,105
831,65,918,65,918,101,831,101
933,65,1125,65,1125,101,933,101
1260,65,1361,65,1361,101,1260,101
1383,65,1416,65,1416,101,1383,101
1437,65,1525,65,1525,101,1437,101
1750,79,1859,79,1859,112,1750,112
635,137,973,137,973,210,635,210
1013,137,1350,137,1350,210,1013,210
577,148,602,148,602,203,577,203
570,217,606,217,606,279,570,279
635,217,835,217,835,294,635,294
875,221,1005,221,1005,294,875,294
1049,221,1245,221,1245,297,1049,297
1285,221,1557,221,1557,297,1285,297
1594,225,1935,225,1935,297,1594,297
156,312,257,312,257,352,156,352
275,312,446,312,446,352,275,352
464,315,533,315,533,352,464,352
548,315,718,315,718,352,548,352
734,312,847,318,845,356,732,351
940,315,1027,315,1027,355,940,355
1042,319,1183,319,1183,355,1042,355
1198,319,1267,319,1267,359,1198,359
1285,319,1383,319,1383,355,1285,355
1405,319,1517,319,1517,359,1405,359
2055,323,2120,323,2120,359,2055,359
773,392,846,392,846,435,773,435
860,392,965,392,965,435,860,435
1688,391,1845,396,1844,443,1687,437
1474,395,1615,395,1615,435,1474,435
272,486,512,486,512,533,272,533
1158,490,1456,490,1456,541,1158,541
584,519,751,519,751,566,584,566
268,544,424,544,424,591,268,591
137,610,225,610,225,660,137,660
268,613,508,613,508,664,268,664
1278,631,1434,631,1434,679,1278,679
1448,631,1648,631,1648,682,1448,682
1659,649,1913,649,1913,686,1659,686
1187,668,1223,668,1223,708,1187,708
134,682,228,682,228,733,134,733
1281,722,1434,722,1434,773,1281,773
1187,726,1230,726,1230,769,1187,769
1448,726,1648,726,1648,773,1448,773
301,726,537,726,537,798,301,798
1655,740,1910,740,1910,777,1655,777
1183,784,1223,784,1223,827,1183,827
1278,817,1579,817,1579,867,1278,867
1100,911,1187,911,1187,958,1100,958
1205,911,1296,911,1296,958,1205,958
257,969,504,969,504,1013,257,1013
1140,987,1260,987,1260,1031,1140,1031
1270,987,1430,987,1430,1031,1270,1031
1485,987,1597,987,1597,1027,1485,1027
1615,987,1775,987,1775,1034,1615,1034
1859,987,2091,987,2091,1034,1859,1034
1045,994,1082,994,1082,1074,1045,1074
257,1013,446,1013,446,1056,257,1056
639,1024,878,1024,878,1100,639,1100
533,1027,628,1027,628,1096,533,1096
1042,1078,1078,1078,1078,1118,1042,1118
1140,1078,1394,1078,1394,1114,1140,1114
1477,1078,1732,1078,1732,1114,1477,1114
257,1147,541,1147,541,1187,257,1187
1481,1151,1764,1151,1764,1194,1481,1194
1597,1198,1644,1198,1644,1230,1597,1230
649,1209,882,1209,882,1256,649,1256
1862,1216,2000,1216,2000,1260,1862,1260
944,1238,1071,1238,1071,1274,944,1274
1096,1238,1223,1238,1223,1274,1096,1274
1481,1241,1761,1241,1761,1281,1481,1281
297,1241,482,1241,482,1314,297,1314
642,1260,900,1260,900,1307,642,1307
1862,1267,2033,1267,2033,1307,1862,1307
2055,1267,2127,1267,2127,1314,2055,1314
1474,1285,1768,1285,1768,1325,1474,1325
1481,1332,1684,1332,1684,1368,1481,1368
1692,1332,1775,1332,1775,1368,1692,1368
257,1372,453,1372,453,1419,257,1419
464,1376,577,1376,577,1412,464,1412
617,1405,882,1405,882,1452,617,1452
893,1405,1005,1405,1005,1452,893,1452
1013,1405,1132,1405,1132,1452,1013,1452
1140,1405,1278,1405,1278,1452,1140,1452
1931,1419,1968,1419,1968,1463,1931,1463
1859,1423,1906,1423,1906,1456,1859,1456
2004,1427,2069,1427,2069,1463,2004,1463
2080,1427,2117,1427,2117,1459,2080,1459
257,1477,421,1477,421,1517,257,1517
453,1477,606,1477,606,1514,453,1514
631,1506,817,1506,817,1554,631,1554
955,1506,1067,1506,1067,1554,955,1554
1078,1506,1194,1506,1194,1554,1078,1554
827,1510,944,1510,944,1554,827,1554
274,1518,362,1512,365,1553,276,1559
374,1514,584,1514,584,1561,374,1561
257,1574,404,1579,402,1625,256,1620
413,1579,486,1579,486,1615,413,1615
1543,1597,1750,1597,1750,1641,1543,1641
1768,1597,1884,1597,1884,1644,1768,1644
1902,1597,2127,1597,2127,1644,1902,1644
1114,1608,1267,1608,1267,1648,1114,1648
1285,1608,1441,1608,1441,1652,1285,1652
1114,1652,1267,1652,1267,1695,1114,1695
1289,1652,1441,1652,1441,1699,1289,1699
1543,1666,1717,1666,1717,1713,1543,1713
1732,1666,1855,1666,1855,1713,1732,1713
1870,1670,2095,1670,2095,1717,1870,1717
