45,9,81,9,81,24,45,24
85,9,110,9,110,24,85,24
112,9,155,9,155,24,112,24
155,9,207,9,207,24,155,24
261,11,279,11,279,27,261,27
283,11,312,11,312,24,283,24
45,42,65,42,65,60,45,60
76,45,94,45,94,60,76,60
141,47,218,43,218,61,142,64
222,45,292,45,292,60,222,60
297,45,335,45,335,60,297,60
342,45,411,45,411,60,342,60
15,47,31,47,31,60,15,60
87,76,123,76,123,92,87,92
191,76,240,76,240,92,191,92
38,78,85,78,85,92,38,92
128,78,153,78,153,92,128,92
240,78,294,78,294,92,240,92
1217,128,1255,128,1255,141,1217,141
1266,128,1307,128,1307,141,1266,141
576,261,855,271,851,365,573,354
580,454,614,454,614,474,580,474
528,459,580,459,580,474,528,474
481,497,540,497,540,517,481,517
483,544,504,544,504,560,483,560
517,578,663,578,663,600,517,600
483,582,515,582,515,598,483,598
483,603,652,603,652,618,483,618
483,641,513,641,513,657,483,657
483,684,508,684,508,699,483,699
483,722,513,722,513,735,483,735
483,740,497,740,497,756,483,756
499,740,510,740,510,756,499,756
513,740,540,740,540,756,513,756
672,740,740,740,740,756,672,756
747,740,776,740,776,756,747,756
542,742,600,742,600,756,542,756
600,742,657,742,657,756,600,756
1336,762,1392,762,1392,783,1336,783
1289,767,1338,767,1338,780,1289,780
483,778,517,778,517,794,483,794
1336,823,1388,823,1388,839,1336,839
89,827,150,824,151,839,90,841
1415,825,1431,825,1431,839,1415,839
47,828,87,828,87,839,47,839
155,828,186,828,186,841,155,841
1316,864,1377,864,1377,877,1316,877
60,870,78,870,78,888,60,888
85,868,164,868,164,891,85,891
405,868,427,868,427,888,405,888
166,870,213,870,213,888,166,888
218,870,294,870,294,891,218,891
1208,873,1228,873,1228,888,1208,888
1257,870,1280,870,1280,891,1257,891
1287,873,1305,873,1305,888,1287,888
1230,875,1253,875,1253,888,1230,888
1314,882,1345,882,1345,895,1314,895
1345,882,1383,882,1383,895,1345,895
